bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,plot_ID
102,129,39,7116,259,-64,323,21,109,191,7,1617,166,103,11,444,352,409,417,47_155_57
88,115,37,7003,236,-72,308,158,11,175,-6,1482,142,103,10,413,323,410,323,47_19_30
109,129,39,7228,269,-58,327,182,66,199,12,1277,128,91,11,360,279,354,288,47_19_32
103,124,38,7265,261,-62,323,176,61,193,6,1291,130,93,11,367,283,361,288,47_19_33
97,122,38,7127,253,-66,319,169,19,186,2,1363,135,97,11,383,299,380,302,47_19_34
91,119,38,7071,243,-70,313,10,143,179,-3,1778,180,119,9,480,398,449,450,47_155_43
94,122,38,7079,247,-69,316,13,146,182,-1,1725,175,114,10,468,382,435,440,47_155_22
114,136,41,7194,275,-56,331,33,122,204,18,1476,153,89,12,410,310,377,385,47_155_33
123,137,41,7276,284,-49,333,40,130,213,25,1432,148,84,13,399,295,370,375,47_9_41
116,135,40,7229,276,-55,331,33,123,205,19,1502,156,91,12,420,315,381,395,47_9_52
89,117,37,7134,240,-73,313,7,141,177,-7,1819,184,121,9,493,404,456,464,47_9_42
125,137,40,7305,287,-48,335,42,132,216,27,1438,149,84,13,403,295,370,380,47_9_14
113,136,40,7201,276,-56,332,111,120,204,17,1376,142,83,12,379,289,360,348,47_155_39
94,123,38,7067,248,-68,316,92,101,182,0,1645,166,110,9,445,367,423,410,47_155_52
117,139,41,7217,280,-54,334,35,124,207,20,1377,143,82,13,380,286,358,353,47_155_18
130,140,41,7424,296,-44,340,204,137,223,31,1268,129,72,14,357,256,345,316,47_155_28
121,140,41,7263,285,-52,337,119,129,211,24,1354,140,79,13,375,278,355,346,47_155_67
102,128,39,7089,258,-64,322,21,109,190,7,1587,162,102,10,432,346,405,404,47_155_30
120,139,41,7294,283,-52,335,119,127,211,23,1373,142,81,13,379,283,359,352,47_155_55
125,139,41,7373,289,-48,337,199,133,217,27,1324,135,76,14,366,270,353,336,47_155_41
120,137,41,7299,282,-52,334,37,127,211,22,1439,149,85,13,400,298,370,376,47_155_73
129,136,40,7380,291,-44,335,45,136,220,30,1393,144,81,14,388,284,363,365,47_9_25
113,132,40,7271,273,-57,330,30,167,203,16,1553,161,94,12,435,327,391,411,47_9_54
101,126,39,7163,258,-64,322,19,154,190,5,1683,173,107,11,466,363,420,440,47_9_67
96,121,38,7152,250,-68,318,14,149,185,0,1770,181,115,10,487,386,440,459,47_9_55
125,135,40,7300,287,-46,333,42,133,216,27,1469,153,86,14,415,301,375,392,47_9_44
135,131,39,7492,298,-36,334,50,142,228,34,1387,145,80,14,391,281,358,369,47_9_29
129,133,39,7416,291,-43,334,45,136,221,30,1443,151,84,14,408,295,369,385,47_9_30
95,120,37,7164,248,-69,317,13,148,184,-1,1776,182,115,10,488,387,441,460,47_9_17
125,135,40,7418,291,-46,337,200,131,218,27,1203,123,70,14,340,246,332,290,47_29_4
113,136,40,7202,276,-56,332,111,120,204,17,1342,138,82,12,370,282,355,335,47_29_48
124,135,39,7491,290,-48,338,199,79,218,24,1148,124,71,14,335,239,327,266,47_179_17
118,134,40,7350,282,-52,334,193,124,210,20,1240,126,73,13,345,256,338,302,47_29_50
119,135,40,7358,284,-51,335,116,126,211,21,1248,127,73,13,347,257,339,305,47_29_40
114,130,39,7382,277,-54,331,188,70,206,15,1233,123,89,11,350,272,341,276,47_91_24
100,122,38,7230,257,-64,321,173,20,190,3,1297,130,93,11,370,285,361,287,47_91_25
109,127,38,7311,269,-57,326,183,67,201,12,1247,127,88,11,355,272,347,283,47_163_16
127,134,40,7366,289,-45,334,43,133,219,28,1452,151,85,14,409,298,372,386,47_9_10
94,122,38,7050,247,-68,315,13,146,181,-1,1745,177,115,9,474,387,439,446,47_155_15
91,120,38,7032,244,-69,313,89,98,179,-2,1631,163,111,9,441,367,424,399,47_29_26
91,119,37,7105,243,-71,314,9,143,179,-4,1789,181,119,9,484,398,450,455,47_155_4
111,129,38,7407,274,-57,331,186,29,204,12,1221,122,88,11,349,268,339,271,47_91_47
107,127,39,7233,267,-58,325,180,27,198,11,1315,129,94,10,369,288,362,290,47_91_59
98,121,37,7243,255,-66,321,171,18,188,1,1304,130,93,11,371,286,362,287,47_91_41
108,128,39,7218,268,-59,327,181,28,198,11,1315,129,94,10,368,289,363,291,47_91_55
108,127,38,7282,269,-59,328,182,27,199,11,1272,127,92,11,361,280,353,283,47_91_61
96,119,37,7192,251,-67,318,169,17,186,0,1346,133,95,11,381,293,374,294,47_91_35
88,115,37,7008,238,-71,309,159,12,176,-5,1458,140,102,10,407,318,404,320,47_19_54
136,136,39,7581,305,-36,341,51,192,231,35,1485,160,91,14,431,310,352,407,47_139_88
110,128,38,7334,272,-57,329,184,67,202,13,1245,126,90,11,354,273,346,280,47_19_31
114,131,39,7353,277,-54,331,188,69,206,16,1209,122,75,13,338,254,334,286,47_59_20
118,134,40,7351,281,-53,334,192,74,210,20,1199,124,80,13,343,255,337,273,47_171_23
125,135,40,7449,291,-46,337,200,131,218,26,1200,123,69,14,340,244,332,290,47_29_29
