bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,plot_ID
107,128,34,8698,290,-78,368,195,-11,214,-11,1020,113,63,19,316,203,308,203,39_9_2639
106,129,34,8729,291,-81,372,195,-12,214,-12,1018,110,62,19,313,202,301,202,39_73_2719
115,129,35,8515,296,-68,364,202,0,221,0,1081,118,71,16,321,228,315,228,39_87_2361
120,131,35,8480,301,-64,365,206,6,225,6,1074,119,70,16,322,229,316,229,39_87_927
105,126,34,8627,286,-79,365,192,-12,212,-12,1054,112,65,17,319,211,314,211,39_111_3729
105,127,34,8517,286,-78,364,191,-10,211,-10,1097,116,69,16,329,224,324,224,39_111_1202
104,128,34,8754,290,-82,372,193,-14,213,-14,1027,111,62,19,318,203,306,203,39_127_2058
109,124,34,8562,288,-73,361,196,-7,215,-7,1073,112,69,15,316,222,316,222,39_167_1630
116,130,35,8542,297,-69,366,203,0,222,0,1068,117,70,17,318,224,313,224,39_87_3339
119,131,35,8515,301,-66,367,206,4,224,4,1065,117,69,16,317,226,312,226,39_87_6997
119,130,35,8485,300,-65,365,205,5,225,5,1069,117,70,16,318,229,313,229,39_87_5020
110,130,35,8712,294,-77,371,198,-8,218,-8,1004,109,62,18,308,201,296,201,39_9_3333
117,132,36,8500,299,-67,366,204,3,223,3,1074,120,70,17,320,225,316,225,39_53_3860
115,127,34,8502,294,-69,363,201,0,220,0,1090,118,71,16,324,232,318,232,39_87_5651
108,128,35,8525,288,-76,364,194,-8,213,-8,1080,113,68,15,322,221,318,221,39_167_2541
118,130,35,8459,299,-64,363,205,4,223,4,1089,121,72,16,325,232,319,232,39_87_11243
108,127,34,8596,288,-76,364,194,-9,214,-9,1058,112,66,16,318,213,314,213,39_111_13153
107,129,34,8712,290,-80,370,195,-11,214,-11,1017,110,62,19,313,202,302,202,39_73_12469
118,130,35,8489,299,-66,365,205,3,223,3,1080,120,71,16,322,228,317,228,39_87_12770
105,127,34,8565,286,-78,364,191,-11,211,-11,1074,114,67,16,325,217,318,217,39_111_212
107,129,34,8714,291,-78,369,195,-11,215,-11,1017,112,62,19,316,202,307,202,39_127_592
85,120,35,7880,248,-91,339,165,97,181,-22,1397,144,100,10,394,320,386,321,54_83_1109
123,136,41,7032,283,-43,326,121,129,212,30,1641,164,122,8,433,384,425,399,37_175_7
98,120,39,6871,248,-59,307,96,105,184,7,1910,189,143,7,506,451,485,468,37_99_32
